condition_id,paper_record,source_file,evidence_kind,access,microbe,anode,cathode,reactor,substrate,substrate_concentration_g_l,salinity_g_l,conductivity_ms_cm,temperature_c,pH,external_resistance_ohm,voltage_v,open_circuit_voltage_v,power_density_mw_m2,current_density_mA_m2,cod_removal_percent,source_locator,use,quality_flag
BV-LIT-009-G-100,BV-LIT-009,PDF 1.pdf,Primary experiment,Public,Pseudomonas aeruginosa,"Carbon cloth, 3 x 5 cm","Carbon cloth, 3 x 5 cm; potassium permanganate catholyte","Double chamber; two 500 mL bottles; 300 mL working volume",Glucose,3,,,,7,100,0.202,,136,673,88.5,"PDF 1, pp. 3-5; Fig. 2; Table 1",Calculator benchmark,"Reported voltage, current density and power density do not reconcile cleanly with a simple V/R/area calculation."
BV-LIT-009-F-100,BV-LIT-009,PDF 1.pdf,Primary experiment,Public,Pseudomonas aeruginosa,"Carbon cloth, 3 x 5 cm","Carbon cloth, 3 x 5 cm; potassium permanganate catholyte","Double chamber; two 500 mL bottles; 300 mL working volume",Fructose,3,,,,7,100,0.033,,3.6,100,67.5,"PDF 1, p. 5; Fig. 3; Table 1",Calculator benchmark,"Duplicate batch tests; higher concentrations show inhibition."
BV-LIT-009-S-100,BV-LIT-009,PDF 1.pdf,Primary experiment,Public,Pseudomonas aeruginosa,"Carbon cloth, 3 x 5 cm","Carbon cloth, 3 x 5 cm; potassium permanganate catholyte","Double chamber; two 500 mL bottles; 300 mL working volume",Sucrose,4,,,,7,100,0.079,,20.8,0.26,54.2,"PDF 1, p. 5; Fig. 4; Table 1",Calculator benchmark,"The reported current-density value conflicts with the voltage/resistance/area context."
BV-LIT-009-G-PMAX,BV-LIT-009,PDF 1.pdf,Primary experiment,Public,Pseudomonas aeruginosa,"Carbon cloth, 3 x 5 cm","Carbon cloth; potassium permanganate catholyte","Double chamber polarization series",Glucose,3,,,,7,1000,0.77,,213,,,"PDF 1, p. 5; Fig. 5A",Do not pool,"Polarization value and reported voltage/area imply a normalization inconsistency."
BV-LIT-011-20,BV-LIT-011,PDF 2.pdf,Primary experiment,Public,Halophilic exoelectrogenic enrichment,"316L stainless-steel mesh, 3 x 3 cm","Carbon felt, 3 x 3 x 0.55 cm","Dual chamber; 100 mL anode and 100 mL cathode",Sodium acetate,3.5,20,49,37,7,100,0.240,0.435,96.77,1908.6,76,"PDF 2, pp. 3, 6, 9; Table 2; Fig. 3",Calculator benchmark,"Power-density peak is at 100 ohm; current-density maximum is reported at 5 ohm."
BV-LIT-011-40,BV-LIT-011,PDF 2.pdf,Primary experiment,Public,Halophilic exoelectrogenic enrichment,"316L stainless-steel mesh, 3 x 3 cm","Carbon felt, 3 x 3 x 0.55 cm","Dual chamber; 100 mL anode and 100 mL cathode",Sodium acetate,3.5,40,82,37,7,100,0.374,0.670,162.09,2161.29,83,"PDF 2, pp. 3, 6, 9; Table 2; Fig. 3",Calculator benchmark,"Power-density peak is at 100 ohm; current-density maximum is reported at 5 ohm."
BV-LIT-010-500,BV-LIT-010,PDF 11.pdf,Primary experiment,Private reviewed,Halophilic starch-degrading consortium,"Stainless-steel mesh, 5 x 5 cm","Graphite felt, 3 x 3 x 0.58 cm","Dual chamber; 100 mL anode and 100 mL cathode",Starch,12,27.22,31.17,,7,100,0.060,0.450,71.06,1338.14,,"PDF 11, pp. 3-6; Table 2; Fig. 2",Calculator benchmark,"Private source. Paper lists starch as 12 g in anolyte; verify concentration basis."
BV-LIT-010-1000,BV-LIT-010,PDF 11.pdf,Primary experiment,Private reviewed,Halophilic starch-degrading consortium,"Stainless-steel mesh, 5 x 5 cm","Graphite felt, 3 x 3 x 0.58 cm","Dual chamber; 100 mL anode and 100 mL cathode",Starch,12,58.44,42.78,,7,100,0.160,0.640,207.05,2051.28,,"PDF 11, pp. 3-6; Table 2; Fig. 2",Calculator benchmark,"Private source. Peak power and current density refer to different resistance points."
BV-LIT-010-2000,BV-LIT-010,PDF 11.pdf,Primary experiment,Private reviewed,Halophilic starch-degrading consortium,"Stainless-steel mesh, 5 x 5 cm","Graphite felt, 3 x 3 x 0.58 cm","Dual chamber; 100 mL anode and 100 mL cathode",Starch,12,116.88,59.67,,7,100,0.120,0.520,106.25,1722.75,,"PDF 11, pp. 3-6; Table 2; Fig. 2",Calculator benchmark,"Private source. Peak power and current density refer to different resistance points."
BV-LIT-010-3000,BV-LIT-010,PDF 11.pdf,Primary experiment,Private reviewed,Halophilic starch-degrading consortium,"Stainless-steel mesh, 5 x 5 cm","Graphite felt, 3 x 3 x 0.58 cm","Dual chamber; 100 mL anode and 100 mL cathode",Starch,12,175.32,74.56,,7,100,0.040,0.430,48.3,1250,,"PDF 11, pp. 3-6; Table 2; Fig. 2",Calculator benchmark,"Private source. Highest starch removal occurs at 3000 mM while power falls after the 1000 mM optimum."
BV-LIT-007-YEAST-AU,BV-LIT-007,Public full text; no local PDF,Benchmark only,Public,Saccharomyces cerevisiae,"Graphite modified with gold nanoparticles and/or polypyrrole","Two-electrode laboratory cell; ferricyanide acceptor","Laboratory electrochemical/MFC test",Glucose,,,,,,,,0.455,22.8,,,"Kondrotaite-Inte et al. (2025), DOI 10.3390/microorganisms13081938",Feature evidence,"Open-circuit voltage is not loaded voltage; mediator and electrode modification limit direct comparability."
BV-LIT-008-PSEUDOMONAS,BV-LIT-008,Public full text; no local PDF,Benchmark only,Public,Pseudomonas aeruginosa,"Bioelectrochemical test; source details retained in paper","Not comparable to MFC rows here","Oxygen-limited bioelectrochemical cultures","Glucose, 2,3-butanediol or ethanol",,,,,,,,,,0.019,,"Bosire, Blank & Rosenbaum (2016), DOI 10.1128/AEM.01342-16",Feature evidence,"Current is reported in uA/cm2 and is not directly comparable to the MFC power-density rows."
BV-LIT-012-MFC-1000,BV-LIT-012,COD removal.pdf,Primary experiment,Public,Electroactive wastewater biofilm,"Graphite felt, 40 cm2","Pt air cathode","Air-cathode double chamber; 120 mL anode comparison",Urban wastewater,,,,20,,1000,,,,50,,"COD removal.pdf, pp. 7-8; final comparison",Treatment benchmark,"Power-producing condition; treatment and harvestable power are separate objectives."
BV-LIT-012-SHORT,BV-LIT-012,COD removal.pdf,Primary experiment,Public,Electroactive wastewater biofilm,"Graphite felt, 40 cm2","Pt air cathode; short circuit","Air-cathode double chamber; 120 mL anode comparison",Urban wastewater,,,,20,,0,,,,72,,"COD removal.pdf, pp. 7-8; final comparison",Treatment benchmark,"Short-circuit operation gives up external harvestable power."
BV-LIT-012-MES,BV-LIT-012,COD removal.pdf,Primary experiment,Public,Electroactive wastewater biofilm,"Graphite felt, 40 cm2","Pt cathode connected as microbial electrochemical snorkel","MES comparison; 120 mL anode",Urban wastewater,,,,20,,0,,,,69,,"COD removal.pdf, pp. 7-8; final comparison",Treatment benchmark,"MES is a treatment configuration and cannot provide external electrical power in the same sense as a loaded MFC."
BV-SUP-001-BIOCHAR,BV-SUP-001,PDF 7.pdf,Supporting experiment,Public,Pseudomonas aeruginosa plus endogenous waste microflora,"Carbon brush","Pinus resinosa biochar cathode, effective area 7 cm2","Single chamber air cathode; 26 mL","Shredded vegetable/food residues in PBS; 0.5% glucose added",,,,25,6.6,1000,,,,,,"PDF 7, pp. 4-7; Fig. 7",Context only,"PD/CD use a combined cathode-area and treated-biomass normalization and are not pooled with mW/m2 rows."
